"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000020072","195","","","100"
"","2900000020073","195","","","100"
"","2900000020074","195","","","100"
"","2900000020075","195","","","100"
"","2900000020076","195","","","100"
"","2900000020077","195","","","100"
"","2900000020078","195","","","100"
"","2900000020079","195","","","100"
"","2900000020080","195","","","100"
"","2900000020081","195","","","100"
"","2900000020082","195","","","100"
"","2900000020083","195","","","100"
"","2900000020084","195","","","100"
"","2900000020085","195","","","100"
"","2900000020086","195","","","100"
"","2900000020087","195","","","100"
"","2900000020088","195","","","100"
"","2900000020089","195","","","100"
"","2900000020090","195","","","100"
"","2900000020091","195","","","100"
"","2900000020092","195","","","100"
"","2900000020093","195","","","100"
"","2900000020094","195","","","100"
"","2900000020095","195","","","100"
"","2900000020096","195","","","100"
"","2900000020097","195","","","100"
"","2900000020098","195","","","100"
"","2900000020099","195","","","100"
"","2900000020100","195","","","100"
"","2900000020101","195","","","100"
"","2900000020102","195","","","100"
"","2900000020103","195","","","100"
"","2900000020104","195","","","100"
"","2900000020105","195","","","100"
"","2900000020106","195","","","100"
"","2900000020107","195","","","100"
"","2900000020108","195","","","100"
"","2900000020109","195","","","100"
"","2900000020110","195","","","100"
"","2900000020111","195","","","100"
"","2900000020112","195","","","100"
"","2900000020113","195","","","100"
"","2900000020114","195","","","100"
"","2900000020115","195","","","100"
"","2900000020116","195","","","100"
"","2900000020117","195","","","100"
"","2900000020118","195","","","100"
"","2900000020119","195","","","100"
"","2900000020120","195","","","100"
"","2900000020121","195","","","100"
"","2900000020122","195","","","100"
"","2900000020123","195","","","100"
"","2900000020124","195","","","100"
"","2900000020125","195","","","100"
"","2900000020126","195","","","100"
"","2900000020127","195","","","100"
"","2900000020128","195","","","100"
"","2900000020129","195","","","100"
"","2900000020130","195","","","100"
"","2900000020131","195","","","100"
"","2900000020132","195","","","100"
"","2900000020133","195","","","100"
"","2900000020134","195","","","100"
"","2900000020135","195","","","100"
"","2900000020136","195","","","100"
"","2900000020137","195","","","100"
"","2900000020138","195","","","100"
"","2900000020139","195","","","100"
"","2900000020140","195","","","100"
"","2900000020141","195","","","100"
"","2900000020142","195","","","100"
"","2900000020143","195","","","100"
"","2900000020144","195","","","100"
"","2900000020145","195","","","100"
"","2900000020146","195","","","100"
"","2900000020147","195","","","100"
"","2900000020148","195","","","100"
"","2900000020149","195","","","100"
"","2900000020150","195","","","100"
"","2900000020151","195","","","100"
"","2900000020152","195","","","100"
"","2900000020153","195","","","100"
"","2900000020154","195","","","100"
"","2900000020155","195","","","100"
"","2900000020156","195","","","100"
"","2900000020157","195","","","100"
"","2900000020158","195","","","100"
"","2900000020159","195","","","100"
"","2900000020160","195","","","100"
"","2900000020161","195","","","100"
"","2900000020162","195","","","100"
"","2900000020163","195","","","100"
"","2900000020164","195","","","100"
"","2900000020165","195","","","100"
"","2900000020166","195","","","100"
"","2900000020167","195","","","100"
"","2900000020168","195","","","100"
"","2900000020169","195","","","100"
"","2900000020170","195","","","100"
"","2900000020171","195","","","100"
"","2900000020172","195","","","100"
"","2900000020173","195","","","100"
"","2900000020174","195","","","100"
"","2900000020175","195","","","100"
"","2900000020176","195","","","100"
"","2900000020177","195","","","100"
"","2900000020178","195","","","100"
"","2900000020179","195","","","100"
"","2900000020180","195","","","100"
"","2900000020181","195","","","100"
"","2900000020182","195","","","100"
"","2900000020183","195","","","100"
"","2900000020184","195","","","100"
"","2900000020185","195","","","100"
"","2900000020186","195","","","100"
"","2900000020187","195","","","100"
"","2900000020188","195","","","100"
"","2900000020189","195","","","100"
"","2900000020190","195","","","100"
"","2900000020191","195","","","100"
"","2900000020192","195","","","100"
"","2900000020193","195","","","100"
"","2900000020194","195","","","100"
"","2900000020195","195","","","100"
"","2900000020196","195","","","100"
"","2900000020197","195","","","100"
"","2900000020198","195","","","100"
"","2900000020199","195","","","100"
"","2900000020200","195","","","100"
"","2900000020201","195","","","100"
"","2900000020202","195","","","100"
"","2900000020203","195","","","100"
"","2900000020204","195","","","100"
"","2900000020205","195","","","100"
"","2900000020206","195","","","100"
"","2900000020207","195","","","100"
"","2900000020208","195","","","100"
"","2900000020209","195","","","100"
"","2900000020210","195","","","100"
"","2900000020211","195","","","100"
"","2900000020212","195","","","100"
"","2900000020213","195","","","100"
"","2900000020214","195","","","100"
"","2900000020215","195","","","100"
"","2900000020216","195","","","100"
"","2900000020217","195","","","100"
"","2900000020218","195","","","100"
"","2900000020219","195","","","100"
"","2900000020220","195","","","100"
"","2900000020221","195","","","100"
"","2900000020222","195","","","100"
"","2900000020223","195","","","100"
"","2900000020224","195","","","100"
"","2900000020225","195","","","100"
"","2900000020226","195","","","100"
"","2900000020227","195","","","100"
"","2900000020228","195","","","100"
"","2900000020229","195","","","100"
"","2900000020230","195","","","100"
"","2900000020231","195","","","100"
"","2900000020232","195","","","100"
"","2900000020233","195","","","100"
"","2900000020234","195","","","100"
"","2900000020235","195","","","100"
"","2900000020236","195","","","100"
"","2900000020237","195","","","100"
"","2900000020238","195","","","100"
"","2900000020239","195","","","100"
"","2900000020240","195","","","100"
"","2900000020241","195","","","100"
"","2900000020242","195","","","100"
"","2900000020243","195","","","100"
"","2900000020244","195","","","100"
"","2900000020245","195","","","100"
"","2900000020246","195","","","100"
"","2900000020247","195","","","100"
"","2900000020248","195","","","100"
"","2900000020249","195","","","100"
"","2900000020250","195","","","100"
"","2900000020251","195","","","100"
"","2900000020252","195","","","100"
"","2900000020253","195","","","100"
"","2900000020254","195","","","100"
"","2900000020255","195","","","100"
"","2900000020256","195","","","100"
"","2900000020257","195","","","100"
"","2900000020258","195","","","100"
"","2900000020259","195","","","100"
"","2900000020260","195","","","100"
"","2900000020261","195","","","100"
"","2900000020262","195","","","100"
"","2900000020263","195","","","100"
"","2900000020264","195","","","100"
"","2900000020265","195","","","100"
"","2900000020266","195","","","100"
"","2900000020267","195","","","100"
"","2900000020268","195","","","100"
"","2900000020269","195","","","100"
"","2900000020270","195","","","100"
"","2900000020271","195","","","100"
"","2900000020272","195","","","100"
"","2900000020273","195","","","100"
"","2900000020274","195","","","100"
"","2900000020275","195","","","100"
"","2900000020276","195","","","100"
"","2900000020277","195","","","100"
"","2900000020278","195","","","100"
"","2900000020279","195","","","100"
"","2900000020280","195","","","100"
"","2900000020281","195","","","100"
"","2900000020282","195","","","100"
"","2900000020283","195","","","100"
"","2900000020284","195","","","100"
"","2900000020285","195","","","100"
"","2900000020286","195","","","100"
"","2900000020287","195","","","100"
"","2900000020288","195","","","100"
"","2900000020289","195","","","100"
"","2900000020290","195","","","100"
"","2900000020291","195","","","100"
"","2900000020292","195","","","100"
"","2900000020293","195","","","100"
"","2900000020294","195","","","100"
"","2900000020295","195","","","100"
"","2900000020296","195","","","100"
"","2900000020297","195","","","100"
"","2900000020298","195","","","100"
"","2900000020299","195","","","100"
"","2900000020300","195","","","100"
"","2900000020301","195","","","100"
"","2900000020302","195","","","100"
"","2900000020303","195","","","100"
"","2900000020304","195","","","100"
"","2900000020305","195","","","100"
"","2900000020306","195","","","100"
"","2900000020307","195","","","100"
"","2900000020308","195","","","100"
"","2900000020309","195","","","100"
"","2900000020310","195","","","100"
"","2900000020311","195","","","100"
"","2900000020312","195","","","100"
"","2900000020313","195","","","100"
"","2900000020314","195","","","100"
"","2900000020315","195","","","100"
"","2900000020316","195","","","100"
"","2900000020317","195","","","100"
"","2900000020318","195","","","100"
"","2900000020319","195","","","100"
"","2900000020320","195","","","100"
"","2900000020321","195","","","100"
"","2900000020322","195","","","100"
"","2900000020323","195","","","100"
"","2900000020324","195","","","100"
"","2900000020325","195","","","100"
"","2900000020326","195","","","100"
"","2900000020327","195","","","100"
"","2900000020328","195","","","100"
"","2900000020329","195","","","100"
"","2900000020330","195","","","100"
"","2900000020331","195","","","100"
"","2900000020332","195","","","100"
"","2900000020333","195","","","100"
"","2900000020334","195","","","100"
"","2900000020335","195","","","100"
"","2900000020336","195","","","100"
"","2900000020337","195","","","100"
"","2900000020338","195","","","100"
"","2900000020339","195","","","100"
"","2900000020340","195","","","100"
"","2900000020341","195","","","100"
"","2900000020342","195","","","100"
"","2900000020343","195","","","100"
"","2900000020344","195","","","100"
"","2900000020345","195","","","100"
"","2900000020346","195","","","100"
"","2900000020347","195","","","100"
"","2900000020348","195","","","100"
"","2900000020349","195","","","100"
"","2900000020350","195","","","100"
"","2900000020351","195","","","100"
"","2900000020352","195","","","100"
"","2900000020353","195","","","100"
"","2900000020354","195","","","100"
"","2900000020355","195","","","100"
"","2900000020356","195","","","100"
"","2900000020357","195","","","100"
"","2900000020358","195","","","100"
"","2900000020359","195","","","100"
"","2900000020360","195","","","100"
"","2900000020361","195","","","100"
"","2900000020362","195","","","100"
"","2900000020363","195","","","100"
"","2900000020364","195","","","100"
"","2900000020365","195","","","100"
"","2900000020366","195","","","100"
