"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000036123","195","","","100"
"","2900000036124","195","","","100"
"","2900000036125","195","","","100"
"","2900000036126","195","","","100"
"","2900000036127","195","","","100"
"","2900000036128","195","","","100"
"","2900000036129","195","","","100"
"","2900000036130","195","","","100"
"","2900000036131","195","","","100"
"","2900000036132","195","","","100"
"","2900000036133","195","","","100"
"","2900000036134","195","","","100"
"","2900000036135","195","","","100"
"","2900000036136","195","","","100"
"","2900000036137","195","","","100"
"","2900000036138","195","","","100"
"","2900000036139","195","","","100"
"","2900000036140","195","","","100"
"","2900000036141","195","","","100"
"","2900000036142","195","","","100"
"","2900000036143","195","","","100"
"","2900000036144","195","","","100"
"","2900000036145","195","","","100"
"","2900000036146","195","","","100"
"","2900000036147","195","","","100"
"","2900000036148","195","","","100"
"","2900000036149","195","","","100"
"","2900000036150","195","","","100"
"","2900000036151","195","","","100"
"","2900000036152","195","","","100"
"","2900000036153","195","","","100"
"","2900000036154","195","","","100"
"","2900000036155","195","","","100"
"","2900000036156","195","","","100"
"","2900000036157","195","","","100"
"","2900000036158","195","","","100"
"","2900000036159","195","","","100"
"","2900000036160","195","","","100"
"","2900000036161","195","","","100"
"","2900000036162","195","","","100"
"","2900000036163","195","","","100"
"","2900000036164","195","","","100"
"","2900000036165","195","","","100"
"","2900000036166","195","","","100"
"","2900000036167","195","","","100"
"","2900000036168","195","","","100"
"","2900000036169","195","","","100"
"","2900000036170","195","","","100"
"","2900000036171","195","","","100"
"","2900000036172","195","","","100"
"","2900000036173","195","","","100"
"","2900000036174","195","","","100"
"","2900000036175","195","","","100"
"","2900000036176","195","","","100"
"","2900000036177","195","","","100"
"","2900000036178","195","","","100"
"","2900000036179","195","","","100"
"","2900000036180","195","","","100"
"","2900000036181","195","","","100"
"","2900000036182","195","","","100"
"","2900000036183","195","","","100"
"","2900000036184","195","","","100"
"","2900000036185","195","","","100"
"","2900000036186","195","","","100"
"","2900000036187","195","","","100"
"","2900000036188","195","","","100"
"","2900000036189","195","","","100"
"","2900000036190","195","","","100"
"","2900000036191","195","","","100"
"","2900000036192","195","","","100"
"","2900000036193","195","","","100"
"","2900000036194","195","","","100"
"","2900000036195","195","","","100"
"","2900000036196","195","","","100"
"","2900000036197","195","","","100"
"","2900000036198","195","","","100"
"","2900000036199","195","","","100"
"","2900000036200","195","","","100"
"","2900000036201","195","","","100"
"","2900000036202","195","","","100"
"","2900000036203","195","","","100"
"","2900000036204","195","","","100"
"","2900000036205","195","","","100"
"","2900000036206","195","","","100"
"","2900000036207","195","","","100"
"","2900000036208","195","","","100"
"","2900000036209","195","","","100"
"","2900000036210","195","","","100"
"","2900000036211","195","","","100"
"","2900000036212","195","","","100"
"","2900000036213","195","","","100"
"","2900000036214","195","","","100"
"","2900000036215","195","","","100"
"","2900000036216","195","","","100"
"","2900000036217","195","","","100"
"","2900000036218","195","","","100"
"","2900000036219","195","","","100"
"","2900000036220","195","","","100"
"","2900000036221","195","","","100"
"","2900000036222","195","","","100"
"","2900000036223","195","","","100"
"","2900000036224","195","","","100"
"","2900000036225","195","","","100"
"","2900000036226","195","","","100"
"","2900000036227","195","","","100"
"","2900000036228","195","","","100"
"","2900000036229","195","","","100"
"","2900000036230","195","","","100"
"","2900000036231","195","","","100"
"","2900000036232","195","","","100"
"","2900000036233","195","","","100"
"","2900000036234","195","","","100"
"","2900000036235","195","","","100"
"","2900000036236","195","","","100"
"","2900000036237","195","","","100"
"","2900000036238","195","","","100"
"","2900000036239","195","","","100"
