"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000032035","195","","","100"
"","2900000032036","195","","","100"
"","2900000032037","195","","","100"
"","2900000032038","195","","","100"
"","2900000032039","195","","","100"
"","2900000032040","195","","","100"
"","2900000032041","195","","","100"
"","2900000032042","195","","","100"
"","2900000032043","195","","","100"
"","2900000032044","195","","","100"
"","2900000032045","195","","","100"
"","2900000032046","195","","","100"
"","2900000032047","195","","","100"
"","2900000032048","195","","","100"
"","2900000032049","195","","","100"
"","2900000032050","195","","","100"
"","2900000033001","195","","","100"
"","2900000033002","195","","","100"
"","2900000033003","195","","","100"
"","2900000033004","195","","","100"
"","2900000033005","195","","","100"
"","2900000033006","195","","","100"
"","2900000033007","195","","","100"
"","2900000033008","195","","","100"
"","2900000033009","195","","","100"
"","2900000033010","195","","","100"
"","2900000033011","195","","","100"
"","2900000033012","195","","","100"
"","2900000033013","195","","","100"
"","2900000033014","195","","","100"
"","2900000033015","195","","","100"
"","2900000033016","195","","","100"
"","2900000033017","195","","","100"
"","2900000033018","195","","","100"
"","2900000033019","195","","","100"
"","2900000033020","195","","","100"
"","2900000033021","195","","","100"
"","2900000033022","195","","","100"
"","2900000033023","195","","","100"
"","2900000033024","195","","","100"
"","2900000033025","195","","","100"
"","2900000033026","195","","","100"
"","2900000033027","195","","","100"
"","2900000033028","195","","","100"
"","2900000034001","195","","","100"
"","2900000034002","195","","","100"
"","2900000034003","195","","","100"
"","2900000034004","195","","","100"
"","2900000034005","195","","","100"
"","2900000034006","195","","","100"
"","2900000034007","195","","","100"
"","2900000034008","195","","","100"
"","2900000034009","195","","","100"
"","2900000034010","195","","","100"
"","2900000034011","195","","","100"
"","2900000034012","195","","","100"
"","2900000034013","195","","","100"
"","2900000034014","195","","","100"
"","2900000034015","195","","","100"
"","2900000034016","195","","","100"
"","2900000034017","195","","","100"
"","2900000034018","195","","","100"
"","2900000034019","195","","","100"
"","2900000034020","195","","","100"
"","2900000034021","195","","","100"
"","2900000034022","195","","","100"
"","2900000034023","195","","","100"
"","2900000034024","195","","","100"
"","2900000034025","195","","","100"
"","2900000034026","195","","","100"
"","2900000034027","195","","","100"
"","2900000034028","195","","","100"
"","2900000034029","195","","","100"
"","2900000034030","195","","","100"
"","2900000034031","195","","","100"
"","2900000034032","195","","","100"
"","2900000034033","195","","","100"
"","2900000034034","195","","","100"
"","2900000034035","195","","","100"
"","2900000034036","195","","","100"
"","2900000034037","195","","","100"
"","2900000034038","195","","","100"
"","2900000034039","195","","","100"
"","2900000034040","195","","","100"
"","2900000034041","195","","","100"
"","2900000034042","195","","","100"
"","2900000034043","195","","","100"
"","2900000034044","195","","","100"
"","2900000034045","195","","","100"
"","2900000034046","195","","","100"
"","2900000034047","195","","","100"
"","2900000034048","195","","","100"
"","2900000034049","195","","","100"
"","2900000034050","195","","","100"
"","2900000034051","195","","","100"
"","2900000034052","195","","","100"
"","2900000034053","195","","","100"
"","2900000034054","195","","","100"
"","2900000034055","195","","","100"
"","2900000034056","195","","","100"
"","2900000034057","195","","","100"
"","2900000034058","195","","","100"
"","2900000034059","195","","","100"
"","2900000034060","195","","","100"
"","2900000034061","195","","","100"
"","2900000034062","195","","","100"
"","2900000034063","195","","","100"
"","2900000034064","195","","","100"
"","2900000034065","195","","","100"
"","2900000034066","195","","","100"
"","2900000034067","195","","","100"
"","2900000034068","195","","","100"
"","2900000034069","195","","","100"
"","2900000034070","195","","","100"
"","2900000034071","195","","","100"
"","2900000034072","195","","","100"
"","2900000034073","195","","","100"
"","2900000034074","195","","","100"
"","2900000034075","195","","","100"
"","2900000034076","195","","","100"
"","2900000034077","195","","","100"
"","2900000034078","195","","","100"
"","2900000034079","195","","","100"
"","2900000034080","195","","","100"
"","2900000034081","195","","","100"
"","2900000034082","195","","","100"
"","2900000034083","195","","","100"
"","2900000034084","195","","","100"
"","2900000034085","195","","","100"
"","2900000034086","195","","","100"
"","2900000034087","195","","","100"
"","2900000034088","195","","","100"
"","2900000034089","195","","","100"
"","2900000034090","195","","","100"
"","2900000035001","195","","","100"
"","2900000035002","195","","","100"
"","2900000035003","195","","","100"
"","2900000035004","195","","","100"
"","2900000035005","195","","","100"
"","2900000035006","195","","","100"
"","2900000035007","195","","","100"
"","2900000035008","195","","","100"
"","2900000035009","195","","","100"
"","2900000035010","195","","","100"
"","2900000035011","195","","","100"
"","2900000035012","195","","","100"
"","2900000035013","195","","","100"
"","2900000035014","195","","","100"
"","2900000035015","195","","","100"
"","2900000035016","195","","","100"
"","2900000035017","195","","","100"
"","2900000035018","195","","","100"
"","2900000035019","195","","","100"
"","2900000035020","195","","","100"
"","2900000035021","195","","","100"
"","2900000035022","195","","","100"
"","2900000035023","195","","","100"
"","2900000035024","195","","","100"
"","2900000035025","195","","","100"
"","2900000035026","195","","","100"
"","2900000035027","195","","","100"
"","2900000035028","195","","","100"
"","2900000035029","195","","","100"
"","2900000035030","195","","","100"
"","2900000035031","195","","","100"
"","2900000035032","195","","","100"
"","2900000035033","195","","","100"
"","2900000035034","195","","","100"
"","2900000035035","195","","","100"
"","2900000035036","195","","","100"
"","2900000035037","195","","","100"
"","2900000035038","195","","","100"
"","2900000035039","195","","","100"
"","2900000035040","195","","","100"
"","2900000035041","195","","","100"
"","2900000035042","195","","","100"
"","2900000035043","195","","","100"
"","2900000035044","195","","","100"
"","2900000035045","195","","","100"
"","2900000035046","195","","","100"
"","2900000035047","195","","","100"
"","2900000035048","195","","","100"
"","2900000035049","195","","","100"
"","2900000035050","195","","","100"
"","2900000035051","195","","","100"
"","2900000035052","195","","","100"
"","2900000035053","195","","","100"
"","2900000035054","195","","","100"
"","2900000035055","195","","","100"
"","2900000035056","195","","","100"
"","2900000035057","195","","","100"
"","2900000035058","195","","","100"
"","2900000035059","195","","","100"
"","2900000035060","195","","","100"
"","2900000035061","195","","","100"
"","2900000035062","195","","","100"
"","2900000035063","195","","","100"
"","2900000035064","195","","","100"
"","2900000035065","195","","","100"
"","2900000035066","195","","","100"
"","2900000035067","195","","","100"
"","2900000035068","195","","","100"
"","2900000035069","195","","","100"
"","2900000035070","195","","","100"
"","2900000035071","195","","","100"
"","2900000035072","195","","","100"
"","2900000035073","195","","","100"
"","2900000035074","195","","","100"
"","2900000035075","195","","","100"
"","2900000035076","195","","","100"
"","2900000035077","195","","","100"
"","2900000035078","195","","","100"
"","2900000035079","195","","","100"
"","2900000035080","195","","","100"
"","2900000035081","195","","","100"
"","2900000035082","195","","","100"
"","2900000035083","195","","","100"
"","2900000035084","195","","","100"
"","2900000035085","195","","","100"
"","2900000035086","195","","","100"
"","2900000035087","195","","","100"
"","2900000035088","195","","","100"
"","2900000035089","195","","","100"
"","2900000035090","195","","","100"
"","2900000036001","195","","","100"
"","2900000036002","195","","","100"
"","2900000036003","195","","","100"
"","2900000036004","195","","","100"
"","2900000036005","195","","","100"
"","2900000036006","195","","","100"
"","2900000036007","195","","","100"
"","2900000036008","195","","","100"
"","2900000036009","195","","","100"
"","2900000036010","195","","","100"
"","2900000036011","195","","","100"
"","2900000036012","195","","","100"
"","2900000036013","195","","","100"
"","2900000036014","195","","","100"
"","2900000036015","195","","","100"
"","2900000036016","195","","","100"
"","2900000036017","195","","","100"
"","2900000036018","195","","","100"
"","2900000036019","195","","","100"
"","2900000036020","195","","","100"
"","2900000036021","195","","","100"
"","2900000036022","195","","","100"
"","2900000036023","195","","","100"
"","2900000036024","195","","","100"
"","2900000036025","195","","","100"
"","2900000036026","195","","","100"
"","2900000036027","195","","","100"
"","2900000036028","195","","","100"
"","2900000036029","195","","","100"
"","2900000036030","195","","","100"
"","2900000036031","195","","","100"
"","2900000036032","195","","","100"
"","2900000036033","195","","","100"
"","2900000036034","195","","","100"
"","2900000036035","195","","","100"
"","2900000036036","195","","","100"
"","2900000036037","195","","","100"
"","2900000036038","195","","","100"
"","2900000036039","195","","","100"
"","2900000036040","195","","","100"
"","2900000036041","195","","","100"
"","2900000036042","195","","","100"
"","2900000036043","195","","","100"
"","2900000036044","195","","","100"
"","2900000036045","195","","","100"
"","2900000036046","195","","","100"
"","2900000036047","195","","","100"
"","2900000036048","195","","","100"
"","2900000036049","195","","","100"
"","2900000036050","195","","","100"
"","2900000036051","195","","","100"
"","2900000036052","195","","","100"
"","2900000036053","195","","","100"
"","2900000036054","195","","","100"
"","2900000036055","195","","","100"
"","2900000036056","195","","","100"
"","2900000036057","195","","","100"
"","2900000036058","195","","","100"
"","2900000036059","195","","","100"
"","2900000036060","195","","","100"
"","2900000036061","195","","","100"
"","2900000036062","195","","","100"
"","2900000036063","195","","","100"
"","2900000036064","195","","","100"
"","2900000036065","195","","","100"
"","2900000036066","195","","","100"
"","2900000036067","195","","","100"
"","2900000036068","195","","","100"
"","2900000036069","195","","","100"
"","2900000036070","195","","","100"
"","2900000036071","195","","","100"
"","2900000036072","195","","","100"
"","2900000036073","195","","","100"
"","2900000036074","195","","","100"
"","2900000036075","195","","","100"
"","2900000036076","195","","","100"
"","2900000036077","195","","","100"
"","2900000036078","195","","","100"
"","2900000036079","195","","","100"
"","2900000036080","195","","","100"
"","2900000036081","195","","","100"
"","2900000036082","195","","","100"
"","2900000036083","195","","","100"
"","2900000036084","195","","","100"
"","2900000036085","195","","","100"
"","2900000036086","195","","","100"
"","2900000036087","195","","","100"
"","2900000036088","195","","","100"
"","2900000036089","195","","","100"
"","2900000036090","195","","","100"
"","2900000036091","195","","","100"
"","2900000036092","195","","","100"
"","2900000036093","195","","","100"
"","2900000036094","195","","","100"
"","2900000036095","195","","","100"
"","2900000036096","195","","","100"
"","2900000036097","195","","","100"
"","2900000036098","195","","","100"
"","2900000036099","195","","","100"
"","2900000036100","195","","","100"
"","2900000036101","195","","","100"
"","2900000036102","195","","","100"
"","2900000036103","195","","","100"
"","2900000036104","195","","","100"
"","2900000036105","195","","","100"
"","2900000036106","195","","","100"
"","2900000036107","195","","","100"
"","2900000036108","195","","","100"
"","2900000036109","195","","","100"
"","2900000036110","195","","","100"
"","2900000036111","195","","","100"
"","2900000036112","195","","","100"
"","2900000036113","195","","","100"
"","2900000036114","195","","","100"
"","2900000036115","195","","","100"
"","2900000036116","195","","","100"
"","2900000036117","195","","","100"
"","2900000036118","195","","","100"
"","2900000036119","195","","","100"
"","2900000036120","195","","","100"
"","2900000036121","195","","","100"
"","2900000036122","195","","","100"
"","2900000036123","195","","","100"
"","2900000036124","195","","","100"
"","2900000036125","195","","","100"
"","2900000036126","195","","","100"
"","2900000036127","195","","","100"
"","2900000036128","195","","","100"
"","2900000036129","195","","","100"
"","2900000036130","195","","","100"
"","2900000036131","195","","","100"
"","2900000036132","195","","","100"
"","2900000036133","195","","","100"
"","2900000036134","195","","","100"
"","2900000036135","195","","","100"
"","2900000036136","195","","","100"
"","2900000036137","195","","","100"
"","2900000036138","195","","","100"
"","2900000036139","195","","","100"
"","2900000036140","195","","","100"
"","2900000036141","195","","","100"
"","2900000036142","195","","","100"
"","2900000036143","195","","","100"
"","2900000036144","195","","","100"
"","2900000036145","195","","","100"
"","2900000036146","195","","","100"
"","2900000036147","195","","","100"
"","2900000036148","195","","","100"
"","2900000036149","195","","","100"
"","2900000036150","195","","","100"
"","2900000036151","195","","","100"
"","2900000036152","195","","","100"
"","2900000036153","195","","","100"
"","2900000036154","195","","","100"
"","2900000036155","195","","","100"
"","2900000036156","195","","","100"
"","2900000036157","195","","","100"
"","2900000036158","195","","","100"
"","2900000036159","195","","","100"
"","2900000036160","195","","","100"
"","2900000036161","195","","","100"
"","2900000036162","195","","","100"
"","2900000036163","195","","","100"
"","2900000036164","195","","","100"
"","2900000036165","195","","","100"
"","2900000036166","195","","","100"
"","2900000036167","195","","","100"
"","2900000036168","195","","","100"
"","2900000036169","195","","","100"
"","2900000036170","195","","","100"
"","2900000036171","195","","","100"
"","2900000036172","195","","","100"
"","2900000036173","195","","","100"
"","2900000036174","195","","","100"
"","2900000036175","195","","","100"
"","2900000036176","195","","","100"
"","2900000036177","195","","","100"
"","2900000036178","195","","","100"
"","2900000036179","195","","","100"
"","2900000036180","195","","","100"
"","2900000036181","195","","","100"
"","2900000036182","195","","","100"
"","2900000036183","195","","","100"
"","2900000036184","195","","","100"
"","2900000036185","195","","","100"
"","2900000036186","195","","","100"
"","2900000036187","195","","","100"
"","2900000036188","195","","","100"
"","2900000036189","195","","","100"
"","2900000036190","195","","","100"
"","2900000036191","195","","","100"
"","2900000036192","195","","","100"
"","2900000036193","195","","","100"
"","2900000036194","195","","","100"
"","2900000036195","195","","","100"
"","2900000036196","195","","","100"
"","2900000036197","195","","","100"
"","2900000036198","195","","","100"
"","2900000036199","195","","","100"
"","2900000036200","195","","","100"
"","2900000036201","195","","","100"
"","2900000036202","195","","","100"
"","2900000036203","195","","","100"
"","2900000036204","195","","","100"
"","2900000036205","195","","","100"
"","2900000036206","195","","","100"
"","2900000036207","195","","","100"
"","2900000036208","195","","","100"
"","2900000036209","195","","","100"
"","2900000036210","195","","","100"
"","2900000036211","195","","","100"
"","2900000036212","195","","","100"
"","2900000036213","195","","","100"
"","2900000036214","195","","","100"
"","2900000036215","195","","","100"
"","2900000036216","195","","","100"
"","2900000036217","195","","","100"
"","2900000036218","195","","","100"
"","2900000036219","195","","","100"
"","2900000036220","195","","","100"
"","2900000036221","195","","","100"
"","2900000036222","195","","","100"
"","2900000036223","195","","","100"
"","2900000036224","195","","","100"
"","2900000036225","195","","","100"
"","2900000036226","195","","","100"
"","2900000036227","195","","","100"
"","2900000036228","195","","","100"
"","2900000036229","195","","","100"
"","2900000036230","195","","","100"
"","2900000036231","195","","","100"
"","2900000036232","195","","","100"
"","2900000036233","195","","","100"
"","2900000036234","195","","","100"
"","2900000036235","195","","","100"
"","2900000036236","195","","","100"
"","2900000036237","195","","","100"
"","2900000036238","195","","","100"
"","2900000036239","195","","","100"
